# Prompt 20H review queue — one row per distinct raw Station identity.
# SCOPE: the 82 highest-impact identities (rows_affected >= 5), covering 544 of the 1,104 blocker rows.
# The full 327 identities are NOT hand-transcribed here: copying Arabic identity text by hand risks
# corrupting the very identity this workload exists to establish. Regenerate all 327 verbatim from
# production with docs/analysis/mapping-review-queue.sql — that is the authoritative extract.
# preparation_category is 'A_blocked_on_stage_A' for every row: canonical stations = 0, so no
# mapping decision can be recorded yet (see mapping-workload-summary.md section 2).
# candidate_structural_name is ADVISORY ONLY and records what a deterministic separator-folding
# normalization WOULD match. No rule was applied. No decision was recorded.
raw_station,normalized_station,region,rows_affected,storage_vessels,recovery_tanks,gas_detectors,hoses,structural_candidates,candidate_structural_name
"فيصل توتال","فيصل توتال","West",32,2,3,1,26,1,"فيصل  توتال"
"التعاون - رمسيس","التعاون - رمسيس","West",23,0,0,0,23,0,""
"وادي حوف","وادي حوف","West",15,12,3,0,0,1,"وادى حوف"
"الدولفين","الدولفين","West",12,6,6,0,0,0,""
"رشدي","رشدي","Alex+West",10,6,2,2,0,1,"رشدى"
"الصحراوي","الصحراوي","West",9,5,4,0,0,1,"الصحراوى"
"الفيوم 1","الفيوم 1","Upper",9,3,6,0,0,0,""
"سوهاج الروافع","سوهاج الروافع","Upper",9,3,6,0,0,0,""
"قبضايا","قبضايا","Canal",9,6,2,1,0,0,""
"الكابتن - بورسعيد","الكابتن - بورسعيد","Canal",8,4,3,1,0,0,""
"دمنهور","دمنهور","Alex",8,3,5,0,0,0,""
"عز الدين موبيل 2","عز الدين موبيل 2","Canal",8,6,2,0,0,0,""
"عوايد - موبيل","عوايد - موبيل","Alex",8,6,1,1,0,0,""
"الحدائق","الحدائق","West",7,3,4,0,0,0,""
"الخمايل اكتوبر","الخمايل اكتوبر","West",7,5,2,0,0,0,""
"الداخلية","الداخليه","Alex+Upper",7,4,3,0,0,0,""
"الضواحي 1","الضواحي 1","Canal",7,6,1,0,0,0,""
"المحور المركزي","المحور المركزي","West",7,5,2,0,0,1,"المحور المركزى"
"المكس","المكس","Alex",7,3,3,1,0,0,""
"النقراشي/ الزقازيق 3","النقراشي/ الزقازيق 3","Delta",7,3,3,1,0,1,"النقراشــي / الزقازيــق 3"
"ببا","ببا","Upper",7,3,3,1,0,0,""
"سيد بشر","سيد بشر","Alex",7,5,2,0,0,0,""
"شعلان / قويسنا 2","شعلان / قويسنا 2","Delta",7,3,3,1,0,1,"شــعلان / قويســنا 2"
"طنطا","طنطا","Delta",7,6,1,0,0,0,""
"عز الدين","عز الدين","Canal",7,6,1,0,0,0,""
"منصورة 2","منصوره 2","Delta",7,6,1,0,0,0,""
"ابو القمصان - بورسعيد","ابو القمصان - بورسعيد","Canal",6,3,2,1,0,0,""
"ابو رواش التعاون","ابو رواش التعاون","West",6,5,1,0,0,0,""
"الطويلة/ طلخا","الطويله/ طلخا","Delta",6,2,3,1,0,1,"الطــويلة / طلخــا"
"بني سويف 1","بني سويف 1","Upper",6,4,1,1,0,0,""
"بني سويف 2","بني سويف 2","Upper",6,4,1,1,0,0,""
"بورفؤاد - بورسعيد","بورفؤاد - بورسعيد","Canal",6,3,2,1,0,0,""
"دائري الهرم","دائري الهرم","West",6,4,2,0,0,1,"دائرى الهرم"
"قسم ثان سوهاج","قسم ثان سوهاج","Upper",6,2,4,0,0,0,""
"قنا 1","قنا 1","Upper",6,4,1,1,0,0,""
"قنا 2","قنا 2","Upper",6,4,1,1,0,0,""
"مزروع/ قويسنا 3","مزروع/ قويسنا 3","Delta",6,3,3,0,0,1,"مــزروع / قويســنا 3"
"منصورة 1","منصوره 1","Delta",6,5,1,0,0,0,""
"وطنية سندوب 1/ المنصورة 3","وطنيه سندوب 1/ المنصوره 3","Delta",6,3,2,1,0,0,""
"ابو المطامير","ابو المطامير","Alex",5,1,3,1,0,0,""
"ابو رواش","ابو رواش","West",5,3,1,1,0,0,""
"الأدبية - السويس","الادبيه - السويس","Canal",5,1,3,1,0,0,""
"الخانكة","الخانكه","Delta",5,3,1,1,0,0,""
"الرحمانية","الرحمانيه","Alex",5,1,3,1,0,0,""
"الزراعة الآلية / قويسنا 1","الزراعه الاليه / قويسنا 1","Delta",5,1,3,1,0,1,"الزراعة الآليـة / قويســنا 1"
"الزهور 1","الزهور 1","Canal",5,3,1,1,0,0,""
"الزهور 2","الزهور 2","Canal",5,3,1,1,0,0,""
"السويس 1","السويس 1","Canal",5,4,1,0,0,0,""
"السويس 2","السويس 2","Canal",5,4,1,0,0,0,""
"الشهداء القديمة 1","الشهداء القديمه 1","Delta",5,3,1,1,0,1,"الشــهداء القديمة 1"
"الطابية","الطابيه","Alex",5,1,3,1,0,0,""
"العاشر من رمضان (A1)","العاشر من رمضان (a1)","Delta",5,1,3,1,0,0,""
"العاشر من رمضان 1","العاشر من رمضان 1","Delta",5,3,1,1,0,0,""
"العاشر من رمضان 2","العاشر من رمضان 2","Delta",5,3,1,1,0,0,""
"العريش النافورة 2","العريش النافوره 2","Canal",5,3,2,0,0,0,""
"الفيوم 2 السليين","الفيوم 2 السليين","Upper",5,4,1,0,0,0,""
"القباري","القباري","Alex",5,3,1,1,0,0,""
"المروه 1","المروه 1","Canal",5,3,1,1,0,0,""
"المروه 2","المروه 2","Canal",5,3,1,1,0,0,""
"المنيا الجديدة","المنيا الجديده","Upper",5,1,3,1,0,0,""
"النجده","النجده","West",5,1,3,1,0,1,"النجدة"
"النوبارية 81 خيري النجار","النوباريه 81 خيري النجار","Alex",5,1,3,1,0,0,""
"ام زغيو","ام زغيو","Alex",5,1,3,1,0,0,""
"ايتاي شرق","ايتاي شرق","Alex",5,1,3,1,0,0,""
"بنها","بنها","Delta",5,4,1,0,0,0,""
"بني أحمد","بني احمد","Upper",5,1,3,1,0,0,""
"بني سويف الجراج","بني سويف الجراج","Upper",5,3,2,0,0,0,""
"جرجا","جرجا","Upper",5,1,3,1,0,0,""
"جهينة القبلية/ فاقوس 2","جهينه القبليه/ فاقوس 2","Delta",5,1,3,1,0,1,"جهينـة القبليــة / فاقــوس 2"
"رشيد الدولي","رشيد الدولي","Alex",5,1,3,1,0,0,""
"سبك الضحاك / الباجور 2","سبك الضحاك / الباجور 2","Delta",5,1,3,1,0,1,"ســبك الضحاك / الباجـور 2"
"سمسطا","سمسطا","Upper",5,3,1,1,0,0,""
"شطا","شطا","Canal",5,3,1,1,0,0,""
"شنطور","شنطور","Upper",5,1,3,1,0,0,""
"صلاح نسيم - السويس","صلاح نسيم - السويس","Canal",5,1,3,1,0,0,""
"طاليا/ أشمون 2","طاليا/ اشمون 2","Delta",5,1,3,1,0,1,"طاليــا / أشــمون 2"
"قليوب","قليوب","Delta",5,3,1,1,0,1,"قليـــوب"
"كفر الجزار/ بنها 2","كفر الجزار/ بنها 2","Delta",5,3,1,1,0,1,"كفر الجــزار / بنــها 2"
"كفر الدوار","كفر الدوار","Alex",5,1,3,1,0,0,""
"مستودع دمنهور","مستودع دمنهور","Alex",5,3,1,1,0,0,""
"ميت غمر","ميت غمر","Delta",5,1,3,1,0,1,"ميت غمــر"
"ناصر","ناصر","Upper",5,1,3,1,0,0,""
